node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'us-west1-b', 0, 0, 'FKA.pem', -1, 0,
1, 'us-west1-b', 0, 0, 'FKA.pem', -1, 1,
2, 'us-west1-b', 0, 0, 'FKA.pem', -1, 2,
3, 'us-west1-b', 0, 0, 'FKA.pem', -1, 3,
4, 'us-west1-b', 0, 0, 'FKA.pem', -1, 4,
5, 'us-west1-b', 0, 0, 'FKA.pem', -1, 5,
6, 'us-west1-b', 0, 0, 'FKA.pem', -1, 6,
7, 'us-west1-b', 0, 0, 'FKA.pem', -1, 7,
8, 'us-west1-b', 1, -1, 'FKA.pem', 0, -1,
9, 'us-west1-b', 1, -1, 'FKA.pem', 1, -1,
10, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 8,
11, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 9,
12, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 10,
13, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 11,
14, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 12,
15, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 13,
16, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 14,
17, 'asia-northeast1-b', 0, 0, 'FKA.pem', -1, 15,
18, 'asia-northeast1-b', 1, -1, 'FKA.pem', 2, -1,
19, 'asia-northeast1-b', 1, -1, 'FKA.pem', 3, -1,
